Algeria;Africa;Long,Short
Angola;Africa;Long,Short
Benin;Africa;Long,Short
Botswana;Africa;Long,Short
Burkina Faso;Africa;Long,Short
Burundi;Africa;Long,Short
Cameroon;Africa;Long,Short
Cape Verde;Africa;Long,Short
Central African Republic;Africa;Long,Short
Chad;Africa;Long,Short
Comoros;Africa;Long,Short
Democratic Republic of Congo;Africa;Long,Short
Djibouti;Africa;Long,Short
Egypt;Africa;Long,Short
Equatorial Guinea;Africa;Long,Short
Eritrea;Africa;Long,Short
Ethiopia;Africa;Long,Short
Gabon;Africa;Long,Short
Gambia;Africa;Long,Short
Ghana;Africa;Long,Short
Guinea;Africa;Long,Short
Guinea-Bissau;Africa;Long,Short
Ivory Coast;Africa;Long,Short
Kenya;Africa;Long,Short
Lesotho;Africa;Long,Short
Liberia;Africa;Long,Short
Libya;Africa;Long,Short
Madagascar;Africa;Long,Short
Malawi;Africa;Long,Short
Mali;Africa;Long,Short
Mauritania;Africa;Long,Short
Mauritius;Africa;Long,Short
Morocco;Africa;Long,Short
Mozambique;Africa;Long,Short
Namibia;Africa;Long,Short
Niger;Africa;Long,Short
Nigeria;Africa;Long,Short
Republic of the Congo;Africa;Long,Short
Rwanda;Africa;Long,Short
São Tomé and Príncipe;Africa;Long,Short
Senegal;Africa;Long,Short
Seychelles;Africa;Long,Short
Sierra Leone;Africa;Long,Short
Somalia;Africa;Long,Short
South Africa;Africa;Long,Short
South Sudan;Africa;Long,Short
Sudan;Africa;Long,Short
Swaziland;Africa;Long,Short
Tanzania;Africa;Long,Short
Togo;Africa;Long,Short
Tunisia;Africa;Long,Short
Uganda;Africa;Long,Short
Zambia;Africa;Long,Short
Zimbabwe;Africa;Long,Short
Antigua and Barbuda;America;Long,Short
Argentina;America;Long,Short
Bahamas;America;Long,Short
Barbados;America;Long,Short
Belize;America;Long,Short
Bolivia;America;Long,Short
Brazil;America;Long,Short
Canada;America;Long,Short
Chile;America;Long,Short
Colombia;America;Long,Short
Costa Rica;America;Long,Short
Cuba;America;Long,Short
Dominica;America;Long,Short
Dominican Republic;America;Long,Short
Ecuador;America;Long,Short
El Salvador;America;Long,Short
Grenada;America;Long,Short
Guatemala;America;Long,Short
Guyana;America;Long,Short
Haiti;America;Long,Short
Honduras;America;Long,Short
Jamaica;America;Long,Short
Mexico;America;Long,Short
Nicaragua;America;Long,Short
Panama;America;Long,Short
Paraguay;America;Long,Short
Peru;America;Long,Short
Saint Kitts and Nevis;America;Long,Short
Saint Lucia;America;Long,Short
Saint Vincent and the Grenadines;America;Long,Short
Suriname;America;Long,Short
Trinidad and Tobago;America;Long,Short
United States;America;Long,Short
Uruguay;America;Long,Short
Venezuela;America;Long,Short
Afghanistan;Asia;Long,Short
Armenia;Asia;Long,Short
Azerbaijan;Asia;Long,Short
Bahrain;Asia;Long,Short
Bangladesh;Asia;Long,Short
Bhutan;Asia;Long,Short
Brunei;Asia;Long,Short
Cambodia;Asia;Long,Short
China;Asia;Long,Short
Georgia;Asia;Long,Short
India;Asia;Long,Short
Indonesia;Asia;Long,Short
Iran;Asia;Long,Short
Iraq;Asia;Long,Short
Israel;Asia;Long,Short
Japan;Asia;Long,Short
Jordan;Asia;Long,Short
Kazakhstan;Asia;Long,Short
Korea, North;Asia;Long,Short
Korea, South;Asia;Long,Short
Kuwait;Asia;Long,Short
Kyrgyzstan;Asia;Long,Short
Laos;Asia;Long,Short
Lebanon;Asia;Long,Short
Malaysia;Asia;Long,Short
Maldives;Asia;Long,Short
Mongolia;Asia;Long,Short
Myanmar;Asia;Long,Short
Nepal;Asia;Long,Short
Oman;Asia;Long,Short
Pakistan;Asia;Long,Short
Palestine;Asia;Long,Short
Philippines;Asia;Long,Short
Qatar;Asia;Long,Short
Saudi Arabia;Asia;Long,Short
Singapore;Asia;Long,Short
Sri Lanka;Asia;Long,Short
Syria;Asia;Long,Short
Taiwan;Asia;Long,Short
Tajikistan;Asia;Long,Short
Thailand;Asia;Long,Short
Turkey;Asia;Long,Short
Turkmenistan;Asia;Long,Short
United Arab Emirates;Asia;Long,Short
Uzbekistan;Asia;Long,Short
Vietnam;Asia;Long,Short
Yemen;Asia;Long,Short
Albania;Europe;Long,Short
Andorra;Europe;Long,Short
Austria;Europe;Long,Short
Belarus;Europe;Long,Short
